,Hour,P95 Runtime
139,2023-06-14 19:00:00,2403.17
140,2023-06-14 20:00:00,2305.1
141,2023-06-14 21:00:00,1987.36
142,2023-06-14 22:00:00,1897.8
143,2023-06-14 23:00:00,1848.09
144,2023-06-15 00:00:00,1964.94
145,2023-06-15 01:00:00,1893.51
146,2023-06-15 02:00:00,1988.7
147,2023-06-15 03:00:00,2111.74
148,2023-06-15 04:00:00,2090.47
149,2023-06-15 05:00:00,2023.82
150,2023-06-15 06:00:00,2006.76
151,2023-06-15 07:00:00,2093.14
152,2023-06-15 08:00:00,1886.16
153,2023-06-15 09:00:00,1999.03
154,2023-06-15 10:00:00,1864.48
155,2023-06-15 11:00:00,2040.51
156,2023-06-15 12:00:00,2178.57
157,2023-06-15 13:00:00,2378.38
158,2023-06-15 14:00:00,2367.92
159,2023-06-15 15:00:00,2367.33
160,2023-06-15 16:00:00,2249.95
161,2023-06-15 17:00:00,2236.51
162,2023-06-15 18:00:00,2259.26
163,2023-06-15 19:00:00,2256.65
164,2023-06-15 20:00:00,2258.21
165,2023-06-15 21:00:00,2068.96
166,2023-06-15 22:00:00,1811.68
167,2023-06-15 23:00:00,1714.64
168,2023-06-16 00:00:00,1902.31
169,2023-06-16 01:00:00,1885.29
170,2023-06-16 02:00:00,1883.8
171,2023-06-16 03:00:00,2175.58
172,2023-06-16 04:00:00,2193.65
173,2023-06-16 05:00:00,1862.12
174,2023-06-16 06:00:00,1750.34
175,2023-06-16 07:00:00,1940.72
176,2023-06-16 08:00:00,1845.06
177,2023-06-16 09:00:00,1864.89
178,2023-06-16 10:00:00,2119.66
179,2023-06-16 11:00:00,2128.08
180,2023-06-16 12:00:00,2002.8
181,2023-06-16 13:00:00,2179.43
182,2023-06-16 14:00:00,2315.0
183,2023-06-16 15:00:00,2279.66
184,2023-06-16 16:00:00,2181.63
185,2023-06-16 17:00:00,2186.33
186,2023-06-16 18:00:00,2166.73
187,2023-06-16 19:00:00,2196.56
188,2023-06-16 20:00:00,2086.01
189,2023-06-16 21:00:00,1891.61
190,2023-06-16 22:00:00,1798.78
